PROJECT_ID	TYPE	STATUS	???	???	???	OBJECTIVE	START_DATE	END_DATE	SECTOR	SUB_SECTOR	???	???
BRA/98/004-S004	Cooperação Sul-Sul	Concluído	Apoio al Programa Nacional de Erradicación de la Fiebre Aftosa.	Departamento de Defesa Animal-Ministério da Agricultura,Pecuária e Abastecimento - DDA/MAPA	Apoio al Programa Nacional de Erradicación de la Fiebre Aftosa.		01/01/2002	31/12/2003	 Saúde	 Controle e Prevenção de Doenças	Departamento de Defesa Animal-Ministério da Agricultura,Pecuária e Abastecimento - DDA/MAPA	BRA/98/004-S004 - Apoio al Programa Nacional de Erradicación de la Fiebre Aftosa.
BRA/98/004-S007	Cooperação Sul-Sul	Concluído	Control Del Picudo Del Algodonero e Caracterización de Àrea de Plaga.	Departamento de Defea e Inspeção Vegetal -Mapa - DDIV || Ministério da Agricultura, Pecuária e Abastecimento - MAPA	Control Del Picudo Del Algodonero e Caracterización de Àrea de Plaga.		01/02/2002	01/12/2003	 Agricultura	 Defesa Sanitária Vegetal	Departamento de Defea e Inspeção Vegetal -Mapa - DDIV || Ministério da Agricultura, Pecuária e Abastecimento - MAPA	BRA/98/004-S007 - Control Del Picudo Del Algodonero e Caracterización de Àrea de Plaga.
BRA/98/004-S034	Cooperação Sul-Sul	Concluído	Gestão de Base de Dados de Produção de Gado Leiteiro e Vigilância de Doenças na Guiana	Universidade Federal de Lavras-Brasil - UFLA	Gestão de Base de Dados de Produção de Gado Leiteiro e Vigilância de Doenças na Guiana	 Capacitar técnicos da Guiana para a melhoria da produção de gado de corte e leiteiro.	18/04/2002	30/07/2004	 Pecuária	 Defesa Sanitária Animal	Universidade Federal de Lavras-Brasil - UFLA	BRA/98/004-S034 - Gestão de Base de Dados de Produção de Gado Leiteiro e Vigilância de Doenças na Guiana
BRA/98/004-S035	Cooperação Sul-Sul	Concluído	Identificação e Desenvolvimento de Variedades Apropriadas de Mandioca para Segurança Alimentar no Interior da Guiana.	Centro de Raízes e Amidos Tropicais/Universidade Estadual Paulista-Brasil - CERAT/UNESP	Identificação e Desenvolvimento de Variedades Apropriadas de Mandioca para Segurança Alimentar no Interior da Guiana.		18/04/2002	18/04/2003	 Agricultura	 Políticas Públicas	Centro de Raízes e Amidos Tropicais/Universidade Estadual Paulista-Brasil - CERAT/UNESP	BRA/98/004-S035 - Identificação e Desenvolvimento de Variedades Apropriadas de Mandioca para Segurança Alimentar no Interior da Guiana.
BRA/98/004-S036	Cooperação Sul-Sul	Concluído	Sistemas Eficientes de Controle da Formiga Acoushi em Agricultura Orgânica no interior da Guiana.	Universidade Estadual Paulista - UNESP	Sistemas Eficientes de Controle da Formiga Acoushi em Agricultura Orgânica no interior da Guiana.		18/04/2002	18/04/2003	 Agricultura	 Defesa Sanitária Vegetal	Universidade Estadual Paulista - UNESP	BRA/98/004-S036 - Sistemas Eficientes de Controle da Formiga Acoushi em Agricultura Orgânica no interior da Guiana.
BRA/98/004-S037	Cooperação Sul-Sul	Concluído	Limpeza de Resíduos Químicos de Camp Groomes (Cleaning up the Chemical Waste of Camp Groomes)	Exército Brasileiro - EXBR	Limpeza de Resíduos Químicos de Camp Groomes (Cleaning up the Chemical Waste of Camp Groomes)		18/04/2002	18/10/2002	 Meio Ambiente	 Recuperação de Áreas Degradadas	Exército Brasileiro - EXBR	BRA/98/004-S037 - Limpeza de Resíduos Químicos de Camp Groomes (Cleaning up the Chemical Waste of Camp Groomes)
BRA/98/004-S041	Cooperação Sul-Sul	Concluído	Transferência de Técnicas Cafeeiras para o Timor Leste.		Transferência de Técnicas Cafeeiras para o Timor Leste.		18/05/2002	18/09/2003	 Pecuária	 Apicultura		BRA/98/004-S041 - Transferência de Técnicas Cafeeiras para o Timor Leste.
BRA/98/004-S017	Cooperação Sul-Sul	Concluído	Desarrollo Ambiental en los Programas de Formación de Docentes.	Univ. Federal do Paraná/Núcleo Interdisciplinar de Meio Ambiente e Desenvolvimen - UFPR/NIMAD	Desarrollo Ambiental en los Programas de Formación de Docentes.		12/08/2002	31/01/2003	 Meio Ambiente	 Educação Ambiental	Univ. Federal do Paraná/Núcleo Interdisciplinar de Meio Ambiente e Desenvolvimen - UFPR/NIMAD	BRA/98/004-S017 - Desarrollo Ambiental en los Programas de Formación de Docentes.
BRA/98/004-S039	Cooperação Sul-Sul	Concluído	Alfabetização Solidária na Guatemala	Associação de Apoio ao Programa Alfabetização Solidária (Brasil) - AAPAS	Alfabetização Solidária na Guatemala		22/08/2002	22/08/2004	 Educação	 Alfabetização	Associação de Apoio ao Programa Alfabetização Solidária (Brasil) - AAPAS	BRA/98/004-S039 - Alfabetização Solidária na Guatemala
BRA/98/004-A003	Cooperação Sul-Sul	Concluído	Assessoria à Pastoral da Criança de Angola.	Pastoral da Criança- Conferência Nacional dos Bispos do Brasil - PC-CNBB	Assessoria à Pastoral da Criança de Angola.		25/08/2002	27/10/2002	 Desenvolvimento Social	 Inclusão Social	Pastoral da Criança- Conferência Nacional dos Bispos do Brasil - PC-CNBB	BRA/98/004-A003 - Assessoria à Pastoral da Criança de Angola.
