jornal	pagina	data	url	pdf_name	txt_name
3	80	2000-07-10	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=80&data=10/07/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=80&data=10%2F07%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=80&data=10%2F07%2F2000&captchafield=firistAccess.txt
3	8	2000-04-07	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=8&data=07/04/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=8&data=07%2F04%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=8&data=07%2F04%2F2000&captchafield=firistAccess.txt
1	60	2006-10-23	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=60&data=23/10/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=60&data=23%2F10%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=60&data=23%2F10%2F2006&captchafield=firistAccess.txt
1	61	2006-10-23	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=61&data=23/10/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=61&data=23%2F10%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=61&data=23%2F10%2F2006&captchafield=firistAccess.txt
1	62	2006-10-23	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=62&data=23/10/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=62&data=23%2F10%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=62&data=23%2F10%2F2006&captchafield=firistAccess.txt
2	18	2006-10-24	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=18&data=24/10/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=18&data=24%2F10%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=18&data=24%2F10%2F2006&captchafield=firistAccess.txt
2	2	2006-10-24	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=2&data=24/10/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=2&data=24%2F10%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=2&data=24%2F10%2F2006&captchafield=firistAccess.txt
2	31	2006-10-16	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=31&data=16/10/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=31&data=16%2F10%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=31&data=16%2F10%2F2006&captchafield=firistAccess.txt
2	3	2006-10-18	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=3&data=18/10/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=3&data=18%2F10%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=3&data=18%2F10%2F2006&captchafield=firistAccess.txt
2	3	2006-10-20	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=3&data=20/10/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=3&data=20%2F10%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=3&data=20%2F10%2F2006&captchafield=firistAccess.txt
